threshold,direction,day,mean_z,ci_low,ci_high,n_events
1.5,discount,-5,,,,168
1.5,discount,-4,,,,168
1.5,discount,-3,,,,168
1.5,discount,-2,,,,168
1.5,discount,-1,-0.8913938388262634,-1.4790666587071537,0.05240448744622002,168
1.5,discount,0,-1.825915209548322,-2.6300847386068806,-1.5088412435380696,168
1.5,discount,1,-1.4507024482499922,-2.702204860001143,-0.1749392621711346,168
1.5,discount,2,-1.2061322252768651,-2.8193078968201464,0.35327891733655026,168
1.5,discount,3,-1.0443161284983842,-2.555925117017105,0.7659191901453608,168
1.5,discount,4,-0.9036871357049728,-2.7283697485448206,1.2806201382071118,168
1.5,discount,5,-0.75247251367958,-2.4105139011389265,1.4461695201255054,168
1.5,discount,6,-0.5935912563258218,-2.5357186566750483,1.7259621293060652,168
1.5,discount,7,-0.5239881104155001,-2.397350922501087,2.004283292394091,168
1.5,discount,8,-0.38252862255884507,-2.6181830163471242,1.798917081202904,168
1.5,discount,9,-0.3088318738626384,-2.114306678294319,1.649351923366053,168
1.5,discount,10,-0.2573560351219216,-2.514359593684542,1.7648434559830328,168
1.5,discount,11,-0.1997331129675993,-2.32605319423718,1.5174803734919782,168
1.5,discount,12,-0.14515837884247074,-2.061625217997699,1.9038547522753393,168
1.5,discount,13,-0.05776134114473401,-1.9298938011731597,1.907164230726363,168
1.5,discount,14,-0.06226498833474412,-2.3850301857811074,1.9358145031855065,168
1.5,discount,15,0.00250878711458235,-2.157331781372948,2.039778036439399,168
1.5,discount,16,-0.03701641277744127,-2.168951908769794,1.930141341223498,168
1.5,discount,17,0.03369293781277522,-2.041666404684728,1.9831852310414049,168
1.5,discount,18,0.04536495344738034,-2.1637428339642293,1.9748689769550771,168
1.5,discount,19,0.11505842771312996,-1.9907299936463008,2.2742509296982085,168
1.5,discount,20,0.12430417988098845,-2.0542263433145505,2.209156417190193,168
1.5,premium,-5,0.2910512178009299,-1.5703222240518133,2.490977598972585,176
1.5,premium,-4,0.3452457112098481,-1.419146586126545,2.348936218450066,176
1.5,premium,-3,0.4952716213808111,-1.2092182371312736,2.0366664625321285,176
1.5,premium,-2,0.6395755365558501,-0.8913816300581774,1.7315738499222508,176
1.5,premium,-1,0.9865159447459418,-0.031829139588976436,1.4642346975231535,176
1.5,premium,0,1.7761867428218254,1.5063186919451874,2.336545924478516,176
1.5,premium,1,1.4602377718278072,0.30121562290839626,2.685809524694113,176
1.5,premium,2,1.1891304297057594,-0.47838788390526554,2.5484788779556804,176
1.5,premium,3,1.040564256592011,-0.8843757126147399,2.810295515027335,176
1.5,premium,4,0.7674917162005609,-1.3229735663485562,2.542759403270267,176
1.5,premium,5,0.5826613512898411,-1.7101642766353498,2.4429393061055102,176
1.5,premium,6,0.5226087370861853,-1.4084492250349154,2.4403834603923302,176
1.5,premium,7,0.41953349659220707,-1.762780050365581,2.400873032586248,176
1.5,premium,8,0.3676868240472783,-1.9666467966735155,2.275493282532539,176
1.5,premium,9,0.2700444126356014,-2.027313544093973,1.9899059885524901,176
1.5,premium,10,0.21185125904655278,-1.5945865412058855,2.0945607606538617,176
1.5,premium,11,0.10405197468373747,-2.0802724477281465,2.007995342898332,176
1.5,premium,12,0.10606622807081739,-1.6992201709222663,1.9576818677034709,176
1.5,premium,13,0.15047016751810235,-1.789798469062244,2.0843382700777457,176
1.5,premium,14,0.14361819372314882,-1.784164435934712,2.2936027641905374,176
1.5,premium,15,0.11704018494838038,-1.8600820631407664,2.3968000877449165,176
1.5,premium,16,0.1752198710331674,-1.8910759619395718,2.1344639364228133,176
1.5,premium,17,0.03497429483262379,-2.2177114035474546,2.117855154154402,176
1.5,premium,18,0.011189619198637089,-2.0511839604683337,1.9530885525015043,176
1.5,premium,19,0.08560499548182066,-2.019323443343059,1.9180967555941162,176
1.5,premium,20,0.15922516248588955,-1.859097822639489,2.0099160740771445,176
2.0,discount,-5,-0.47958692326470953,-2.4438308612988955,1.4878361276144898,84
2.0,discount,-4,-0.5646035685894318,-2.282793640525792,1.4879091865338505,84
2.0,discount,-3,-0.7707609475325109,-2.185762599803495,0.85995098425895,84
2.0,discount,-2,-1.0293156828122363,-2.1916316144283954,0.18058295184611725,84
2.0,discount,-1,-1.3709373692355245,-1.9764894634227586,-0.44336664491746847,84
2.0,discount,0,-2.334127094382213,-2.981109445315473,-2.0111206247807254,84
2.0,discount,1,-1.9228387332674157,-3.205790011822362,-0.7157529508669911,84
