date,ticker,close,nav,premium_pct,zscore,ret_1d,flag_1.5,flag_2.0,flag_2.5,stress_episode
2021-06-03,HYG,87.08000183105469,87.27239169913062,-0.22044757148308056,,,0,0,0,
2021-06-04,HYG,87.2699966430664,87.16832333705493,0.11664019923652294,,0.002181842076442786,0,0,0,
2021-06-07,HYG,87.30000305175781,86.97434490608798,0.3744301219186751,,0.00034383419096628565,0,0,0,
2021-06-08,HYG,87.36000061035156,86.77340310990233,0.6760107122988807,,0.0006872572336358296,0,0,0,
2021-06-09,HYG,87.43000030517578,87.11126128045395,0.36589875985799186,,0.0008012785523712207,0,0,0,
2021-06-10,HYG,87.58999633789062,87.058617567833,0.6103689501428126,,0.0018299900738463215,0,0,0,
2021-06-11,HYG,87.62000274658203,87.22382934365426,0.4542031757937198,,0.0003425780334052053,0,0,0,
2021-06-14,HYG,87.54000091552734,87.13097064807445,0.4694430285931065,,-0.0009130544230416815,0,0,0,
2021-06-15,HYG,87.52999877929688,86.95952181605162,0.6560258742590654,,-0.00011425789497210292,0,0,0,
2021-06-16,HYG,87.41000366210938,86.96980852229146,0.506147072527001,,-0.0013709027631779724,0,0,0,
2021-06-17,HYG,87.47000122070312,87.11226156884156,0.4106650951529436,,0.0006863923587703269,0,0,0,
2021-06-18,HYG,87.43000030517578,87.47763312194553,-0.05445142383236155,,-0.0004573101059689444,0,0,0,
2021-06-21,HYG,87.5999984741211,88.02848863359438,-0.48676305378456697,,0.00194439172311478,0,0,0,
2021-06-22,HYG,87.66000366210938,87.65949956990444,0.0005750571328925348,,0.0006849907423915891,0,0,0,
2021-06-23,HYG,87.56999969482422,87.52776538626235,0.048252469802573354,,-0.001026739259926135,0,0,0,
2021-06-24,HYG,87.83999633789062,87.2481536310698,0.6783441049348089,,0.0030832093640211777,0,0,0,
2021-06-25,HYG,87.93000030517578,87.34957893055282,0.664481021808269,,0.0010246353715559486,0,0,0,
2021-06-28,HYG,87.91999816894531,87.19442241933069,0.8321355076190775,,-0.00011375112243550145,0,0,0,
2021-06-29,HYG,88.02999877929688,87.20981022633696,0.940477396787439,,0.0012511443658151933,0,0,0,
2021-06-30,HYG,88.04000091552734,86.88442751284147,1.3300121043153348,,0.00011362190581820641,0,0,0,
2021-07-01,HYG,87.91999816894531,87.10129550523224,0.9399431535021066,,-0.001363047993345301,0,0,0,
2021-07-02,HYG,88.05999755859375,87.48166087706366,0.6610947662994363,,0.0015923497789367413,0,0,0,
2021-07-06,HYG,88.01000213623047,87.74241088422914,0.3049736715741659,,-0.0005677427180260652,0,0,0,
2021-07-07,HYG,88.04000091552734,87.90142503375533,0.15764918682353338,,0.0003408564773177414,0,0,0,
2021-07-08,HYG,87.8499984741211,87.2622248312839,0.6735716903546932,,-0.002158137658228254,0,0,0,
2021-07-09,HYG,88.0,87.81121568104149,0.2149888456666361,,0.001707473289519701,0,0,0,
2021-07-12,HYG,87.97000122070312,87.64922929491198,0.3659723289886018,,-0.0003408952192827108,0,0,0,
2021-07-13,HYG,87.70999908447266,87.59981545646063,0.1257806622512669,,-0.0029555772720539775,0,0,0,
2021-07-14,HYG,87.8499984741211,87.74118031412486,0.12402176447438862,,0.0015961622518501084,0,0,0,
2021-07-15,HYG,87.79000091552734,88.09469882713341,-0.34587542231567503,,-0.0006829545775282053,0,0,0,
2021-07-16,HYG,87.66999816894531,88.25635134505757,-0.664375047434012,,-0.0013669295515499336,0,0,0,
2021-07-19,HYG,87.08000183105469,87.2369850329998,-0.17995028357035334,,-0.006729740506594584,0,0,0,
2021-07-20,HYG,87.5199966430664,87.33425171229499,0.21268279870688028,,0.00505276530500498,0,0,0,
2021-07-21,HYG,87.7300033569336,87.6194940237474,0.12612413985893325,,0.002399528358343783,0,0,0,
2021-07-22,HYG,87.77999877929688,87.89979032821002,-0.1362819506916351,,0.0005698782679839365,0,0,0,
2021-07-23,HYG,87.94999694824219,88.22896037719508,-0.3161812490595739,,0.001936638998739637,0,0,0,
