ticker,threshold,direction,horizon,n_events,mean_fwd_ret_pct,median_fwd_ret_pct,ci_low_pct,ci_high_pct,t_stat,p_value
AGG,1.5,premium,1,38,0.034533074071793186,0.005304639396519484,-0.07298045192130727,0.14413894244811915,0.6153473878631714,0.5420919862387638
AGG,1.5,premium,3,37,0.04947652656652877,0.017510743027870923,-0.16195156427887838,0.25786709371538613,0.4420199031881659,0.6611188929595044
AGG,1.5,premium,5,37,-0.09959177364778615,-0.26859723970404925,-0.40535188582877124,0.20427033773000552,-0.6284002182378996,0.5337086215971769
AGG,1.5,premium,10,37,-0.3940217986537824,-0.5121376770114483,-0.7738813432484187,0.04237141297757187,-1.8921921656744216,0.0665294537012984
AGG,1.5,premium,20,37,-0.553183446437941,-0.45716465107957793,-1.1476942448020042,-0.01896214592415547,-1.8704240669925034,0.06957258780681844
HYG,1.5,premium,1,33,-0.22828330905136818,-0.1384526300526101,-0.4045226358474963,-0.07483827518919912,-2.702237287124803,0.010927084865666833
HYG,1.5,premium,3,33,-0.3066687795385073,-0.1931797374378541,-0.567052092997916,-0.05953247112988361,-2.379186813632868,0.023483694475323502
HYG,1.5,premium,5,33,-0.4493226493581529,-0.45311595239718727,-0.763158376841755,-0.16147284454458943,-2.9091546155252304,0.006540895887165863
HYG,1.5,premium,10,33,-0.6123631476423367,-0.38692608257743233,-0.9697916630072804,-0.24824457911910067,-3.345600808129602,0.0021078628349335713
HYG,1.5,premium,20,33,-0.6628873225264855,-0.5731361478060637,-1.248155646628119,-0.12030044778082065,-2.2115833227864146,0.03425779461028766
JNK,1.5,premium,1,36,0.1120932588511379,0.08583562527261224,-0.0672876833131465,0.29195568809179756,1.240625503531571,0.2229962964899652
JNK,1.5,premium,3,36,0.01063873500984358,0.19797811116775144,-0.3015473187863897,0.31606441524008677,0.0661320017591134,0.9476490516667586
JNK,1.5,premium,5,36,-0.08343627801111629,0.20021489592407793,-0.4746627145114847,0.274025936475569,-0.4144354858025515,0.6810843361740526
JNK,1.5,premium,10,36,0.11461783362169747,0.09193617983519475,-0.3691782497806417,0.6126150352569438,0.45868258576122156,0.6492978356551625
JNK,1.5,premium,20,36,0.39512207835245466,0.2214388791665578,-0.09112678263655874,0.8626677262454671,1.5810375897231077,0.12286549001481654
LQD,1.5,premium,1,37,-0.20270284732146218,-0.21448748651835547,-0.35436642945331,-0.06690336032940473,-2.62377566270623,0.012675537981048642
LQD,1.5,premium,3,37,-0.15984398610309683,0.009299122775652258,-0.4416748917665649,0.11326881787477934,-1.1092692879727464,0.27466940900626685
LQD,1.5,premium,5,37,-0.23498161192504174,-0.276653490412726,-0.5659033466645276,0.07542936407348147,-1.4192760323683753,0.16441972711574082
LQD,1.5,premium,10,36,-0.5356712898982747,-0.40176683274344427,-0.9980464338536015,-0.08399134019414405,-2.2601823026312347,0.03013650752035197
LQD,1.5,premium,20,36,-0.668606103329374,-0.7260307999446824,-1.357553187422575,0.0329407317415927,-1.8253828599183417,0.07648659221408402
TLT,1.5,premium,1,34,0.05088236085745614,-0.14438357186172812,-0.28806089798778167,0.3784804284908091,0.27858785214368564,0.782299460683325
TLT,1.5,premium,3,34,-0.23538222957261812,-0.03241396475198166,-0.7622567044713803,0.29287522265577803,-0.8643380034505745,0.3936417690254074
TLT,1.5,premium,5,34,-0.290369292284436,-0.2845290990183158,-1.0084545073102489,0.39053838168449295,-0.7817095935824824,0.4399580775934307
TLT,1.5,premium,10,34,-0.16667616235021163,-0.3433671886072964,-1.0813893480839176,0.7440671470781663,-0.3499018894717374,0.7286357074055302
TLT,1.5,premium,20,34,-1.0734206087494829,-1.066710892520767,-2.3158456122108695,0.20851249208573439,-1.5500061961013507,0.13067839879039148
ALL,1.5,premium,1,178,-0.0446951693655429,-0.07383675815960111,-0.1427534769300864,0.05175415391196907,-0.940859320165053,0.34805923409566836
ALL,1.5,premium,3,177,-0.12329755408326784,-0.01102649799515909,-0.27761008609954446,0.023685062764744184,-1.6173478369059866,0.1075940833052848
ALL,1.5,premium,5,177,-0.22645833130556323,-0.17281741261160333,-0.42135053081986273,-0.023875085828445834,-2.2918418032344694,0.023099072323945043
ALL,1.5,premium,10,176,-0.3159755930014263,-0.2728171972084359,-0.5645901786585428,-0.0737804310895333,-2.456782227678128,0.01499425890057611
ALL,1.5,premium,20,176,-0.5038908793081214,-0.3373717491574779,-0.8320555263901284,-0.15284922850771457,-2.743163087955425,0.006718576598569269
AGG,2.0,discount,1,18,0.018971087880044944,0.03657727681743994,-0.11788459408641858,0.15053289884306453,0.2703355889525703,0.790156642372593
AGG,2.0,discount,3,18,-0.05789540625410175,0.00021609970606295548,-0.3587394646545415,0.22062919218814128,-0.3802882188197419,0.7084411480097685
AGG,2.0,discount,5,18,0.1749932596136526,0.0050228054576051395,-0.17231558387762083,0.5471191291748518,0.8918958714124285,0.38489936382574386
AGG,2.0,discount,10,18,0.06337026686792122,0.10981998947768301,-0.4206411074690085,0.5345214774275522,0.2456068389121417,0.808927205457866
AGG,2.0,discount,20,17,-0.12095308694816578,0.27649425381204296,-0.8457992368233848,0.6668413795783477,-0.30691600864700525,0.762865647752386
HYG,2.0,discount,1,19,-0.09398946826876603,-0.05039168167220165,-0.26809482089554565,0.07283827015084267,-1.0007452876949603,0.3302141770117255
HYG,2.0,discount,3,19,-0.18190366241153522,0.0,-0.5143235359253857,0.12819680054421112,-1.0692195532232187,0.29910031703170703
HYG,2.0,discount,5,18,-0.07148864391926586,-0.22620783194675642,-0.3674816314289444,0.24840488903610014,-0.437729980604986,0.6670926867842601
HYG,2.0,discount,10,17,-0.014598398297695787,-0.05611800815429335,-0.2623548540805765,0.21688376729336953,-0.1185262227720714,0.9071260333705177
HYG,2.0,discount,20,17,0.0800646405067182,0.12531136628683992,-0.8817131112599118,0.7777288128892779,0.1913455098499566,0.85066200566622
JNK,2.0,discount,1,21,-0.11140901327363605,-0.06632496042556779,-0.31045074337970874,0.06817148150645075,-1.1105645317768205,0.2799298052388076
JNK,2.0,discount,3,21,-0.19059869704868018,-0.0824081474513183,-0.5552247453250633,0.1121492315865317,-1.0793529939480573,0.2932758206401914
JNK,2.0,discount,5,21,-0.05721760762819315,0.07213488681347968,-0.4311068597389631,0.3148895349052277,-0.29465639163565416,0.7712930921388121
JNK,2.0,discount,10,21,-0.4785009492812459,-0.31932960665550514,-0.9011342286080599,-0.07790744795197056,-2.2376741215803126,0.03678347946620271
JNK,2.0,discount,20,21,-0.7115600794611513,-0.30636787987443626,-1.2649062405753526,-0.17473920249497313,-2.457948779634825,0.023222316845646046
LQD,2.0,discount,1,18,-0.180948685536319,-0.22381367537804842,-0.3089656200663753,-0.051839832209883564,-2.591673496080256,0.019004404019723517
LQD,2.0,discount,3,18,-0.07570019217949162,-0.14196544215320794,-0.4919929802516869,0.3356784501473598,-0.3399989723048999,0.7380220697000387
LQD,2.0,discount,5,18,0.21615842585284645,0.23962561531799542,-0.2097072874464605,0.6541204421588479,0.9285631662344949,0.36611323358536796
LQD,2.0,discount,10,18,0.29330988315995404,0.37733847757331906,-0.30305069126252454,0.9078129822535379,0.8996225396931193,0.38088805688216953
LQD,2.0,discount,20,18,-0.13220736643363984,-0.135032879448016,-0.9913718656405066,0.7905606720370387,-0.2632698612934521,0.7955069732296414
TLT,2.0,discount,1,11,-0.028686853398961588,0.1280267838638327,-0.552656724791989,0.4906806775579127,-0.10780334790141259,0.9162839697866701
TLT,2.0,discount,3,11,0.17302330032361993,-0.5702954774347679,-1.2840166046684687,1.8191897149782021,0.2147358891759094,0.8342890508094238
TLT,2.0,discount,5,11,0.7226698520996303,0.9210292611133708,-0.8463846114967353,2.194362489836818,0.9250273035003159,0.3767343721937298
TLT,2.0,discount,10,11,0.9493165550949055,0.5264192882514562,-0.9038642135821664,2.9065468539902017,0.9593376639076315,0.36000896758387363
TLT,2.0,discount,20,11,0.585922030207452,0.40943474502666,-1.6652399977947854,3.0504951536345404,0.476102865903884,0.6442320297612424
ALL,2.0,discount,1,87,-0.08455794621901634,-0.062363496592032774,-0.17523190600235428,0.006357347045572757,-1.7031462239257393,0.0921522537340073
ALL,2.0,discount,3,87,-0.09149662864467027,-0.036701455465038,-0.33571470967677464,0.16275327544092133,-0.7291035657765326,0.4679193227684037
ALL,2.0,discount,5,86,0.14536899256690786,0.06756344585567842,-0.10186340563936905,0.40462691342757146,1.1117645776173886,0.2693740764585756
ALL,2.0,discount,10,85,0.07724743647739674,-0.08779831940655125,-0.244012190389572,0.4150978775734848,0.46180016897487236,0.6454183917004823
ALL,2.0,discount,20,84,-0.13776732763943253,-0.052150979015441745,-0.5805281026472512,0.30653931629310166,-0.5883189860736474,0.5579157360629473
AGG,2.0,premium,1,16,0.011144820773792419,0.03564854140241103,-0.18603372852250963,0.2144318792138427,0.10541405490856617,0.9174440086074469
