date,strategy,benchmark,turnover
2021-06-03,0.0,0.0,0.0
2021-06-04,0.0,0.00580254979123802,0.0
2021-06-07,0.0,-0.00070521758961784,0.0
2021-06-08,0.0,0.00281364472680528,0.0
2021-06-09,0.0,0.0032528972230518602,0.0
2021-06-10,0.0,0.00321503301720144,0.0
2021-06-11,0.0,-8.484542471291998e-05,0.0
2021-06-14,0.0,-0.00309709403968906,0.0
2021-06-15,0.0,1.0121328416739985e-05,0.0
2021-06-16,0.0,-0.0019139790700437402,0.0
2021-06-17,0.0,0.005001564120480679,0.0
2021-06-18,0.0,0.00507365374891252,0.0
2021-06-21,0.0,-0.00425704403934638,0.0
2021-06-22,0.0,0.00121849414977916,0.0
2021-06-23,0.0,-0.0011386972561047398,0.0
2021-06-24,0.0,0.0018348843050418398,0.0
2021-06-25,0.0,-0.0025940012066846202,0.0
2021-06-28,0.0,0.0034621398284687003,0.0
2021-06-29,0.0,0.00116439035265192,0.0
2021-06-30,0.0,0.00123938108995512,0.0
2021-07-01,0.0,-0.0017998669816408,0.0
2021-07-02,0.0,0.00287311266178406,0.0
2021-07-06,0.0,0.00363784655348192,0.0
2021-07-07,0.0,0.00290418576804202,0.0
2021-07-08,0.0,0.0002796600312355401,0.0
2021-07-09,0.0,-0.00365816479818684,0.0
2021-07-12,0.0,-0.0005705710376485842,0.0
2021-07-13,0.0,-0.00382395649888454,0.0
2021-07-14,0.0,0.00441029344817776,0.0
2021-07-15,0.0,0.00289504399506172,0.0
2021-07-16,0.0,-0.00143209584061076,0.0
2021-07-19,0.0,0.0041607236815171394,0.0
2021-07-20,0.0,-0.0005219081437610396,0.0
2021-07-21,0.0,-0.0027730299322925402,0.0
2021-07-22,0.0,0.00335271852815806,0.0
2021-07-23,0.0,-0.00079343176767348,0.0
2021-07-26,0.0,-0.0017752541010391,0.0
2021-07-27,0.0,0.00300005447023478,0.0
2021-07-28,0.0,0.0008425282883019377,0.0
2021-07-29,0.0,-0.00121015006234312,0.0
2021-07-30,0.0,0.0008683127770077799,0.0
2021-08-02,0.0,-0.00033540327363202027,0.0
2021-08-03,0.0,0.0006644438807597399,0.0
2021-08-04,0.0,-0.000294135192156018,0.0
2021-08-05,0.0,-0.00149850666165408,0.0
2021-08-06,0.0,-0.00626298748768724,0.0
2021-08-09,0.0,-0.00285753717465772,0.0
2021-08-10,0.0,-0.00243859171943828,0.0
2021-08-11,0.0,0.0010349784256631401,0.0
2021-08-12,0.0,0.0005748408357959411,0.0
2021-08-13,0.0,0.0060117972579309,0.0
2021-08-16,0.0,0.0008301709139039999,0.0
2021-08-17,0.0,-0.00143268813065396,0.0
2021-08-18,0.0,-0.0002145965067340102,0.0
2021-08-19,0.0,0.00218137996374138,0.0
2021-08-20,0.0,0.0011150337599781265,0.0
2021-08-23,0.0,0.0012761055340625,0.0
2021-08-24,0.0,-0.0017210203934924998,0.0
2021-08-25,0.0,-0.00213461806643422,0.0
2021-08-26,0.0,0.00021539145694621475,0.0
2021-08-27,0.0,0.0042324034937191,0.0
2021-08-30,0.0,0.0015541891349474,0.0
2021-08-31,-0.00019920334136307134,-0.0020293153042603997,0.39840668272614266
2021-09-01,0.0009416962599754379,-0.00115888519108926,0.0
2021-09-02,-0.0005082621970045861,0.00194051766309368,0.0
2021-09-03,-0.00010879827126043619,-0.0028095899130702604,0.0
2021-09-07,0.0008520049098710621,-0.004220907008174959,0.39840668272614266
2021-09-08,0.0,0.0027769633786302603,0.0
2021-09-09,0.0,0.004693198209223299,0.0
2021-09-10,0.0,-0.0032303815526197,0.0
2021-09-13,0.0,0.0029347177498973203,0.0
2021-09-14,0.0,0.0031684440784300397,0.0
2021-09-15,0.0,-0.00035714203735818,0.0
2021-09-16,0.0,-0.0016812282186722202,0.0
2021-09-17,0.0,-0.00204318590222052,0.0
2021-09-20,0.0,0.00210312498147306,0.0
2021-09-21,0.0,0.000569882607270371,0.0
2021-09-22,0.0,0.00251384873476206,0.0
2021-09-23,-0.00010004692708230696,-0.006754150494342359,0.20009385416461392
2021-09-24,-0.002149628933144309,-0.00324324142298492,0.3880219980344827
2021-09-27,-0.0003823840954620588,-0.00146206422985182,0.0
2021-09-28,-0.0013496960246617412,-0.00786965376663866,0.0
2021-09-29,-0.00036290821264808,0.00121011803336236,0.0
2021-09-30,0.00041528119464398136,-0.00105313745185064,0.0
2021-10-01,0.0017828294679371585,0.00231542396251342,0.0
2021-10-04,0.0008667758165362956,-0.00236422176438702,0.0
2021-10-05,-0.0017539986281746305,-0.0034822833429337605,0.0
2021-10-06,0.0013516439698764708,0.0010504519875983401,0.0
2021-10-07,-0.0021371020963969305,-0.00358731172207234,0.0
2021-10-08,-0.00024111785499268904,-0.0037055620330972996,0.0
2021-10-11,0.0005997994024221024,-0.0025254313558935,0.20009385416461392
2021-10-12,-0.0009118389814193037,0.00617428084828474,0.3880219980344827
2021-10-13,0.0,0.0044046763508422595,0.0
