ticker,date,direction,vix_regime,oas_regime,magnitude_pct,days_to_zero,fwd_ret_5d,hit
JNK,2024-06-04,discount,low,wide,1.1820732682186923,8.0,0.0014887216959322824,1.0
JNK,2024-09-10,discount,medium,wide,1.208088708137253,4.0,0.008498287003612326,1.0
JNK,2025-03-04,discount,medium,wide,0.4822022235092382,12.0,-0.009971944717438452,0.0
JNK,2025-03-12,discount,medium,wide,0.9691889568943938,6.0,0.006079683666434299,1.0
JNK,2025-07-15,discount,medium,tight,0.870243833439565,14.0,0.008210360689097307,1.0
JNK,2025-07-23,discount,medium,tight,0.9797783846316984,8.0,-0.0023692145920417573,0.0
JNK,2025-11-24,discount,medium,tight,0.6116333803649894,16.0,0.0007213488681347968,1.0
JNK,2026-01-22,discount,medium,wide,1.2864180323527656,9.0,-0.001633946443083012,0.0
JNK,2022-02-16,premium,medium,tight,1.6798326126132797,15.0,-0.0002893400772432386,1.0
JNK,2022-05-09,premium,high,wide,2.23169739109148,16.0,-0.0031479857518458276,1.0
JNK,2022-10-04,premium,high,tight,0.8853198798050642,10.0,-0.027170866119480386,1.0
JNK,2022-10-28,premium,high,tight,0.6894163941400984,20.0,-0.023075246653712744,1.0
JNK,2022-11-15,premium,medium,tight,0.9630604056791824,8.0,0.00218703755397498,0.0
JNK,2023-07-06,premium,medium,tight,0.4030583901081273,9.0,0.02507737910565666,0.0
JNK,2023-11-20,premium,low,wide,0.1473935349350228,17.0,0.008187773062156678,0.0
JNK,2023-12-06,premium,low,wide,0.2222994138319149,6.0,0.01691809960338686,0.0
JNK,2023-12-19,premium,low,wide,0.312952930119849,20.0,0.009523825670676223,0.0
JNK,2024-07-05,premium,low,wide,0.4631951672736566,14.0,0.006871778740290768,0.0
JNK,2024-10-11,premium,medium,wide,0.7725932346023604,7.0,0.0030994464255156284,0.0
JNK,2024-12-03,premium,low,wide,0.9049317644776432,12.0,0.001652759695738304,0.0
JNK,2025-01-06,premium,medium,wide,1.046112357882122,9.0,-0.0070789123720415015,1.0
JNK,2025-04-01,premium,medium,wide,1.2707922671255705,7.0,-0.039886270469673524,1.0
JNK,2025-06-20,premium,medium,tight,1.4820139871318143,3.0,0.0073781467287197255,0.0
JNK,2025-09-19,premium,medium,tight,1.7014908795091173,13.0,-0.002446710905593341,1.0
JNK,2026-02-26,premium,medium,tight,0.9062889212624776,9.0,-0.011284428248200307,1.0
LQD,2021-10-29,discount,medium,wide,1.0038277952916703,20.0,0.010113920787585773,1.0
LQD,2021-11-18,discount,medium,wide,1.1361041719148666,20.0,0.0007541925127891869,1.0
LQD,2022-01-21,discount,high,wide,1.4569447035113934,10.0,-0.009309519046260428,0.0
LQD,2022-07-19,discount,medium,tight,1.0708521960075708,5.0,0.011584059881977415,1.0
LQD,2022-11-17,discount,medium,wide,0.9124647021463446,6.0,0.01842748964152152,1.0
LQD,2023-01-12,discount,medium,tight,1.3957795446261296,12.0,-0.002526380715248022,0.0
LQD,2023-04-26,discount,medium,tight,0.9384016922995808,6.0,-0.0019182198340139678,0.0
LQD,2023-05-17,discount,medium,wide,0.8554639344353993,17.0,-0.007649964326406522,0.0
LQD,2023-06-06,discount,low,tight,1.22934967318499,4.0,-0.0062447400804181985,0.0
LQD,2023-10-04,discount,medium,tight,0.4279872825328988,20.0,0.014740993078148135,1.0
LQD,2023-10-26,discount,medium,tight,1.075135658017315,17.0,0.016030519413411604,1.0
LQD,2024-03-11,discount,medium,wide,1.9569040672301488,10.0,-0.012931067959195186,0.0
LQD,2025-01-15,discount,medium,wide,1.3037555448786733,6.0,0.004038319793570722,1.0
